symbol,entry_time,entry,stop,target,quantity,risk_per_share,risk_pct_of_entry,planned_risk,gross_pnl,net_pnl,r_multiple,reason
HDFCBANK,2026-08-28 12:50:00+05:30,716.25,715.3,718.1500000000001,13,0.9500000000000455,0.13263525305410756,12.350000000000591,-12.350000000000591,-31.54328383087759,-1.0,STOP
WIPRO,2026-08-03 12:10:00+05:30,186.54,186.29,187.04,53,0.25,0.13401951324112793,13.25,26.5,6.075491001866801,2.0,TARGET
TCS,2026-08-14 13:50:00+05:30,2358.2,2355.0,2364.5999999999995,4,3.199999999999818,0.13569671783562964,12.799999999999272,-12.799999999999272,-32.243505283103275,-1.0,STOP
TITAN,2026-08-11 12:45:00+05:30,5146.8,5139.7,5161.000000000001,1,7.100000000000364,0.13794979404679342,7.100000000000364,-7.100000000000364,-17.708788957070364,-1.0,STOP
SBIN,2026-08-12 10:25:00+05:30,1081.0,1079.5,1084.0,9,1.5,0.13876040703052728,13.5,-13.5,-33.55371191151,-1.0,STOP
ADANIENT,2026-08-21 14:05:00+05:30,3001.5,2997.3,3009.9,3,4.199999999999818,0.13993003498250267,12.599999999999454,-12.599999999999454,-31.160230174151454,-1.0,STOP
LT,2026-08-27 13:35:00+05:30,4055.7,4050.0,4067.1,2,5.699999999999818,0.14054293956653152,11.399999999999636,-11.399999999999636,-28.119300357851635,-1.0,STOP
RELIANCE,2026-08-31 11:25:00+05:30,1280.0,1278.2,1283.6,7,1.7999999999999545,0.14062499999999645,12.599999999999682,25.199999999999363,6.688419873463367,2.0,TARGET
M&M,2026-08-05 11:05:00+05:30,3483.9,3479.0,3493.7000000000003,2,4.900000000000091,0.14064697609001667,9.800000000000182,-9.800000000000182,-24.162092107244185,-1.0,STOP
M&M,2026-08-25 11:15:00+05:30,3410.8,3406.0,3420.4000000000005,2,4.800000000000182,0.14072944763692335,9.600000000000364,-9.600000000000364,-23.660736929248365,-1.0,STOP
SBIN,2026-08-21 09:45:00+05:30,1052.0,1050.5,1055.0,9,1.5,0.14258555133079848,13.5,-13.5,-33.015317363550004,-1.0,STOP
SUNPHARMA,2026-08-21 14:00:00+05:30,1891.2,1888.5,1896.6,5,2.7000000000000455,0.14276649746193135,13.500000000000227,27.00000000000045,7.463209417980455,1.9999999999999998,TARGET
HINDUNILVR,2026-08-10 11:50:00+05:30,2091.0,2088.0,2097.0,4,3.0,0.1434720229555237,12.0,24.0,6.719226920640001,2.0,TARGET
HCLTECH,2026-08-24 13:25:00+05:30,1319.7,1317.8,1323.5000000000002,7,1.900000000000091,0.1439721148745996,13.300000000000637,-13.300000000000637,-32.34089206075063,-1.0,STOP
HCLTECH,2026-08-19 13:20:00+05:30,1319.4,1317.5,1323.2000000000005,7,1.900000000000091,0.1440048506897143,13.300000000000637,-13.300000000000637,-32.33656015059464,-1.0,STOP
HCLTECH,2026-08-31 12:55:00+05:30,1313.3,1311.4,1317.0999999999997,7,1.8999999999998636,0.14467372268330644,13.299999999999045,26.59999999999809,7.605979876094096,2.0,TARGET
BAJFINANCE,2026-08-18 12:15:00+05:30,1098.5,1096.9,1101.6999999999998,9,1.599999999999909,0.1456531634046344,14.399999999999181,-14.39999999999918,-34.77757790674718,-0.9999999999999999,STOP
RELIANCE,2026-08-25 12:00:00+05:30,1304.3,1302.4,1308.0999999999997,7,1.8999999999998636,0.14567200797361524,13.299999999999045,-13.299999999999043,-32.11852067274104,-0.9999999999999999,STOP
BAJFINANCE,2026-08-11 14:00:00+05:30,1097.3,1095.7,1100.4999999999998,9,1.599999999999909,0.14581244873780272,14.399999999999181,28.799999999998363,8.395391698162364,2.0,TARGET
ADANIENT,2026-08-21 13:05:00+05:30,2996.0,2991.6,3004.8,3,4.400000000000091,0.14686248331108448,13.200000000000273,26.400000000000546,7.829291382768545,2.0,TARGET
HCLTECH,2026-08-27 12:40:00+05:30,1290.6,1288.7,1294.3999999999996,7,1.8999999999998636,0.14721834805515757,13.299999999999045,-13.299999999999043,-31.92069677561704,-0.9999999999999999,STOP
BAJFINANCE,2026-08-12 13:30:00+05:30,1085.6,1084.0,1088.7999999999995,9,1.599999999999909,0.14738393515106016,14.399999999999181,28.799999999998363,8.612606050270365,2.0,TARGET
HINDUNILVR,2026-08-25 11:20:00+05:30,2026.0,2023.0,2032.0,4,3.0,0.14807502467917077,12.0,-12.0,-28.70335068728,-1.0,STOP
HINDUNILVR,2026-08-24 13:50:00+05:30,2015.7,2012.7,2021.7,4,3.0,0.1488316713796696,12.0,24.0,7.340546605871999,2.0,TARGET
TITAN,2026-08-03 13:30:00+05:30,4899.2,4891.9,4913.8,2,7.300000000000182,0.14900391900718857,14.600000000000364,-14.600000000000364,-34.79561568019636,-1.0,STOP
BHARTIARTL,2026-08-25 09:30:00+05:30,1941.3,1938.4,1947.1,5,2.8999999999998636,0.14938443311182525,14.499999999999318,-14.499999999999318,-34.50615718122931,-1.0,STOP
BHARTIARTL,2026-08-19 14:25:00+05:30,1930.5,1927.6,1936.3,5,2.900000000000091,0.15022015022015495,14.500000000000455,-14.500000000000457,-34.39476520579045,-1.0000000000000002,STOP
AXISBANK,2026-08-27 12:15:00+05:30,1259.0,1257.1,1262.8000000000002,7,1.900000000000091,0.1509134233518738,13.300000000000637,-13.300000000000637,-31.46440223918664,-1.0,STOP
AXISBANK,2026-08-10 13:35:00+05:30,1246.7,1244.8,1250.5000000000002,8,1.900000000000091,0.15240234218337137,15.200000000000728,-15.200000000000728,-35.75633591176073,-1.0,STOP
HINDUNILVR,2026-08-13 14:25:00+05:30,2085.9,2082.7,2092.3000000000006,4,3.200000000000273,0.15341099765090718,12.800000000001091,8.399999999999636,-8.820885714408362,0.6562499999999156,SESSION_CLOSE
