reason,trades,wins,win_rate_pct,gross_pnl,total_cost,net_pnl,avg_net_pnl,avg_holding_minutes,avg_r_multiple
STOP,156,0,0.0,-2703.2499999999977,2867.7350305011582,-5570.985030501156,-35.71144250321254,38.36538461538461,-1.0
SESSION_CLOSE,22,3,13.636363636363635,96.57999999999862,425.6292954221632,-329.04929542216456,-14.956786155552935,139.3181818181818,0.1514790988278454
STOP_TARGET_AMBIGUITY_STOP,4,0,0.0,-15.349999999999113,77.655794451945,-93.00579445194411,-23.251448612986028,0.0,-1.0
TARGET,61,50,81.9672131147541,2025.9599999999932,1127.4685557907487,898.4914442092445,14.729367937856468,47.540983606557376,2.0
