symbol,signal_time,entry_time,entry,stop,target,quantity,exit_time,exit,gross_pnl,total_cost,net_pnl,brokerage,stt,exchange_transaction_charges,sebi_charges,stamp_duty,gst,ipft,slippage,reason
RELIANCE,381,2026-08-10 11:05:00+05:30,1330.5,1327.9,1335.6999999999998,7,2026-08-10 11:10:00+05:30,1327.9,-18.199999999999363,19.191247931184,-37.391247931183365,5.58264,2.3238250000000003,0.5712901600000001,0.0186088,0.279405,1.1110603623839999,1.8608800000000004e-05,9.304400000000001,STOP
RELIANCE,478,2026-08-11 13:10:00+05:30,1324.2,1322.5,1327.6000000000001,7,2026-08-11 13:25:00+05:30,1327.6000000000001,23.800000000000637,19.148216919468,4.651783080532638,5.56878,2.3233,0.5698718199999999,0.0185626,0.278082,1.108301936868,1.85626e-05,9.2813,TARGET
RELIANCE,622,2026-08-13 13:10:00+05:30,1315.9,1315.0,1317.7000000000003,7,2026-08-13 13:10:00+05:30,1315.0,-6.300000000000637,18.994011049034,-25.294011049034637,5.52489,2.30125,0.56538041,0.018416300000000004,0.27633900000000006,1.099566922734,1.8416300000000005e-05,9.208150000000002,STOP
RELIANCE,693,2026-08-14 13:05:00+05:30,1306.0,1305.3,1307.4,7,2026-08-14 13:10:00+05:30,1307.4,9.800000000000637,18.869434669484,-9.069434669483364,5.48814,2.2879500000000004,0.5616196600000001,0.018293800000000002,0.27426,1.092252915684,1.8293800000000004e-05,9.146900000000002,TARGET
RELIANCE,695,2026-08-14 13:15:00+05:30,1307.2,1305.9,1309.8,7,2026-08-14 13:45:00+05:30,1309.8,18.199999999999363,18.896350130419997,-0.6963501304206332,5.495699999999999,2.2921500000000004,0.5623933,0.018319,0.274512,1.0937575114199998,1.8319000000000002e-05,9.1595,TARGET
RELIANCE,758,2026-08-17 12:30:00+05:30,1303.0,1302.9,1303.1999999999998,7,2026-08-17 12:30:00+05:30,1302.9,-0.6999999999993634,18.814130792534,-19.514130792533365,5.47239,2.2800750000000005,0.56000791,0.018241300000000002,0.27363,1.089118341234,1.8241300000000004e-05,9.120650000000001,STOP_TARGET_AMBIGUITY_STOP
RELIANCE,759,2026-08-17 12:35:00+05:30,1304.2,1301.9,1308.8,7,2026-08-17 12:45:00+05:30,1308.8,32.19999999999936,18.86901072938,13.330989270619362,5.487299999999999,2.2904,0.5615337,0.018290999999999998,0.273882,1.0920857383799998,1.8291e-05,9.1455,TARGET
RELIANCE,794,2026-08-18 09:30:00+05:30,1322.4,1319.2,1328.8000000000002,7,2026-08-18 15:05:00+05:30,1319.2,-22.40000000000032,19.069492446816,-41.46949244681632,5.547359999999999,2.3085999999999998,0.56767984,0.0184912,0.27770400000000006,1.1040389156159998,1.8491200000000003e-05,9.2456,STOP
RELIANCE,977,2026-08-20 12:45:00+05:30,1313.4,1311.0,1318.2000000000003,7,2026-08-20 15:10:00+05:30,1311.0,-16.800000000000637,18.945927022344,-35.74592702234464,5.51124,2.29425,0.56398356,0.018370800000000003,0.27581400000000006,1.096850291544,1.8370800000000004e-05,9.185400000000001,STOP
RELIANCE,1028,2026-08-21 11:00:00+05:30,1313.4,1311.3,1317.6000000000004,7,2026-08-21 12:15:00+05:30,1311.3,-14.700000000000955,18.948323977422,-33.648323977422955,5.51187,2.294775,0.56404803,0.0183729,0.27581400000000006,1.096975674522,1.83729e-05,9.18645,STOP
