symbol,timestamp,reason
SBIN,2026-08-12 14:30:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-12 14:40:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-12 14:45:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-12 14:50:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-12 15:00:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-12 15:10:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-13 10:40:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-13 10:55:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-13 11:45:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-13 12:10:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-13 12:20:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-13 12:30:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-13 12:35:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-13 12:40:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-13 12:50:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:00:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:05:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-13 13:10:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:35:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-13 13:40:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-13 13:45:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-13 13:50:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-13 13:55:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-13 14:10:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-13 14:15:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-13 14:20:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-13 14:25:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-13 14:30:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-13 14:50:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-13 14:55:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-13 15:00:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-13 15:10:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-14 09:15:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-14 09:20:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-14 09:45:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-14 11:45:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-14 11:55:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-14 12:10:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-14 12:45:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-14 13:10:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-14 13:15:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-14 13:35:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-14 13:45:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-14 13:55:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-14 14:05:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-14 14:20:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-14 14:40:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-14 14:50:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-14 14:55:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-14 15:00:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-14 15:05:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-14 15:10:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-17 09:15:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-17 09:40:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-17 10:00:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-17 11:25:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-17 12:15:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-17 12:20:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-17 12:25:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-17 12:30:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-17 12:50:00+05:30,INVALID_POSITION_SIZE
ICICIBANK,2026-08-17 12:55:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-17 13:40:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-17 13:50:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-17 13:55:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-17 14:35:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-17 14:40:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-17 14:45:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-17 14:50:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-17 14:55:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-17 15:00:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-17 15:05:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-17 15:10:00+05:30,INVALID_POSITION_SIZE
RELIANCE,2026-08-18 09:20:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 09:25:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-18 09:30:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-18 10:25:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-18 10:35:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 10:50:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 11:05:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 11:30:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-18 11:35:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-18 11:40:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-18 11:45:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-18 12:00:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-18 12:10:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-18 12:25:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-18 12:45:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-18 13:10:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-18 13:40:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 13:45:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 13:55:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-18 14:00:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-18 14:20:00+05:30,DAILY_LOSS_LIMIT
