entry_date,trades,wins,win_rate_pct,gross_pnl,total_cost,net_pnl
2026-08-03,12,3,25.0,-13.550000000000978,228.7551227638722,-242.30512276387316
2026-08-04,9,2,22.22222222222222,-127.86999999999708,160.824240363867,-288.6942403638641
2026-08-05,12,0,0.0,-205.65000000000003,218.017423625949,-423.667423625949
2026-08-06,8,1,12.5,-27.949999999998624,155.272130657101,-183.22213065709963
2026-08-07,13,3,23.076923076923077,-14.199999999998852,238.3818655176228,-252.58186551762165
2026-08-10,15,4,26.666666666666668,-11.399999999999409,274.766753299898,-286.1667532998974
2026-08-11,12,3,25.0,-57.89000000000374,229.1405298407842,-287.03052984078795
2026-08-12,9,3,33.33333333333333,59.89999999999782,158.742319957078,-98.84231995708018
2026-08-13,16,2,12.5,-34.51000000000431,310.0376457130874,-344.5476457130917
2026-08-14,17,2,11.76470588235294,-9.269999999996301,322.2446919674426,-331.5146919674389
2026-08-17,9,5,55.55555555555556,123.88000000000062,165.58573082755402,-41.70573082755337
2026-08-18,11,0,0.0,-197.89999999999873,188.83373327174598,-386.7337332717447
2026-08-19,12,2,16.666666666666664,-35.50000000000017,226.01629218868598,-261.5162921886862
2026-08-20,13,3,23.076923076923077,-26.950000000002944,236.869338044133,-263.819338044136
2026-08-21,15,4,26.666666666666668,-81.29999999999846,283.14533293976,-364.44533293975843
2026-08-24,9,2,22.22222222222222,-54.89000000000101,166.7195609754506,-221.6095609754516
2026-08-25,14,4,28.57142857142857,13.499999999998636,254.779892885036,-241.27989288503733
2026-08-27,12,1,8.333333333333332,-107.55999999999727,217.6219731799624,-325.18197317995964
2026-08-28,12,4,33.33333333333333,104.25000000000063,221.604916642485,-117.35491664248437
2026-08-31,13,5,38.46153846153847,108.79999999999495,241.1291815045,-132.32918150450502
