entry_clock,trades,wins,win_rate_pct,gross_pnl,total_cost,net_pnl,avg_holding_minutes
09:30,5,0,0.0,-105.99999999999932,89.831950354004,-195.8319503540033,95.0
09:35,1,0,0.0,-44.20000000000073,16.52756368822,-60.72756368822073,330.0
09:40,1,0,0.0,-33.80000000000018,16.884749446755997,-50.68474944675618,110.0
09:45,4,0,0.0,-116.90000000000055,74.832956408906,-191.73295640890655,53.75
09:50,2,1,50.0,-2.0,33.63706236134,-35.63706236134,20.0
09:55,2,0,0.0,-74.3500000000002,40.168173812180996,-114.5181738121812,135.0
10:00,2,0,0.0,-46.099999999998545,37.341461002774004,-83.44146100277254,37.5
10:10,2,0,0.0,-42.99999999999886,36.98029378618399,-79.98029378618287,0.0
10:15,1,0,0.0,-8.5,10.45082965853,-18.95082965853,20.0
10:20,1,0,0.0,-36.599999999999454,18.718489694232,-55.31848969423145,20.0
10:25,4,1,25.0,26.300000000001326,68.373534132866,-42.07353413286468,115.0
10:30,1,0,0.0,-25.19999999999959,20.322550451952,-45.52255045195159,55.0
10:40,1,1,100.0,80.39999999999782,18.661430287427997,61.73856971256983,15.0
10:45,2,0,0.0,-49.10000000000082,39.553086841002,-88.65308684100282,30.0
10:55,3,0,0.0,-84.79999999999882,59.568051219775995,-144.36805121977483,106.66666666666667
11:00,5,0,0.0,-81.50000000000182,93.464270361142,-174.9642703611438,24.0
11:05,5,1,20.0,-17.94999999999942,85.54298857955901,-103.49298857955841,31.0
11:10,5,0,0.0,-30.90000000000032,90.53300755680999,-121.43300755681031,1.0
11:15,4,2,50.0,24.600000000001273,75.035721812076,-50.43572181207473,15.0
11:20,6,0,0.0,-68.80000000000132,106.310709240144,-175.11070924014533,27.5
11:25,3,1,33.33333333333333,-5.100000000001273,57.613947215517996,-62.71394721551927,28.333333333333332
11:30,3,2,66.66666666666666,114.89999999999964,51.394869330367996,63.50513066963164,96.66666666666667
11:35,8,1,12.5,-78.10000000000434,149.293064763054,-227.39306476305833,66.25
11:40,2,0,0.0,-47.79999999999927,40.688087161156,-88.48808716115528,135.0
11:45,5,0,0.0,-21.399999999999352,97.33226356162601,-118.73226356162535,84.0
11:50,11,5,45.45454545454545,59.3800000000025,208.9127134198076,-149.5327134198051,86.36363636363636
11:55,8,3,37.5,129.33999999999895,153.8265155552044,-24.486515555205443,98.75
12:00,6,1,16.666666666666664,-81.64999999999822,114.093067875809,-195.7430678758072,37.5
12:05,5,1,20.0,45.09999999999695,93.91283134679401,-48.81283134679704,51.0
12:10,2,1,50.0,32.899999999999636,39.7133523898772,-6.813352389877565,147.5
12:15,9,0,0.0,-99.25000000000085,166.626062870545,-265.87606287054587,34.44444444444444
12:20,4,1,25.0,-6.64999999999884,64.569638307797,-71.21963830779583,70.0
12:25,5,2,40.0,42.64999999999887,100.173151859035,-57.52315185903613,60.0
12:30,6,2,33.33333333333333,17.299999999999386,111.57489040009,-94.27489040009061,15.0
12:35,5,4,80.0,187.49999999999818,99.580400411758,87.9195995882402,74.0
12:40,6,0,0.0,-69.15999999999894,117.0488354444164,-186.20883544441534,15.833333333333334
12:45,5,1,20.0,-3.640000000001919,89.5700108201656,-93.21001082016754,76.0
12:50,6,1,16.666666666666664,-29.64999999999919,113.460553112825,-143.1105531128242,53.333333333333336
12:55,5,2,40.0,41.79999999999927,83.08609660048799,-41.28609660048872,55.0
13:00,3,1,33.33333333333333,7.850000000001103,56.995753852133,-49.14575385213189,66.66666666666667
13:05,5,2,40.0,36.50000000000273,96.146325861546,-59.646325861543275,10.0
13:10,7,3,42.857142857142854,83.19999999999914,128.406143898096,-45.206143898096855,28.571428571428573
13:15,5,1,20.0,-4.549999999997116,97.175331926265,-101.72533192626213,35.0
13:20,2,0,0.0,-25.30000000000109,38.396815733554,-63.6968157335551,30.0
13:25,6,0,0.0,-89.36999999999958,107.437785831885,-196.80778583188456,20.833333333333332
13:30,4,1,25.0,-15.800000000002001,78.08073628046401,-93.880736280466,61.25
13:35,3,0,0.0,-50.00000000000159,57.098977365008,-107.0989773650096,26.666666666666668
13:40,2,0,0.0,-17.519999999999698,37.00042422680799,-54.52042422680769,90.0
13:45,3,0,0.0,-44.400000000002024,60.640826776820006,-105.04082677682203,6.666666666666667
13:50,6,2,33.33333333333333,38.60000000000241,105.298954754712,-66.69895475470959,24.166666666666668
13:55,4,1,25.0,-19.700000000000216,63.6844003093268,-83.38440030932702,26.25
14:00,8,3,37.5,25.64999999999861,143.739158830851,-118.08915883085238,25.0
14:05,5,1,20.0,27.64999999999975,85.918589179333,-58.26858917933325,26.0
14:10,4,1,25.0,-5.939999999998065,80.31393041498919,-86.25393041498725,45.0
14:15,3,1,33.33333333333333,5.400000000002365,51.880375154000006,-46.48037515399764,25.0
14:20,3,1,33.33333333333333,-6.450000000001463,55.252237265831,-61.702237265832466,6.666666666666667
14:25,6,1,16.666666666666664,-35.55000000000052,110.687481612985,-146.2374816129855,30.833333333333332
14:30,3,0,0.0,3.600000000000364,59.12519374919199,-55.52519374919163,25.0
